01;1111;0202;12;1234;20;678;10
01;1111;0303;12;1234;20;678;10
01;2222;0505;10;789;20;678;20
01;2222;0606;10;789;20;678;20
02;3333;0808;10;1234;20;678;30
02;8080;6161;10;789;20;678;40
03;4444;6262;12;1234;20;678;50
03;9090;1111;10;789;20;678;60
03;9090;1212;10;789;20;678;60
04;5555;1414;12;1234;20;678;70
04;5555;1515;12;1234;20;678;70
04;1001;1717;10;789;20;678;80
04;1001;1818;10;789;20;678;80
05;6666;2121;12;1234;20;678;90
05;1002;2323;10;789;20;678;100
06;7777;0101;12;1234;20;678;110
06;7777;0202;12;1234;20;678;110
06;1003;0404;10;789;20;678;120
07;8888;0606;12;1234;20;678;130
07;8888;0707;12;1234;20;678;130
07;1004;0909;10;789;20;678;140
07;1004;1010;10;789;20;678;140
08;9999;1212;12;1234;20;678;150
08;9999;1313;12;1234;20;678;150
08;9998;1515;10;789;20;678;160
09;1010;1717;12;1234;20;678;170
09;1006;1919;10;789;20;678;180
09;1006;2020;10;789;20;678;180
10;2020;2222;12;1234;20;678;190
10;2020;2323;12;1234;20;678;190
10;1007;0101;10;789;20;678;200
10;1007;0202;10;789;20;678;200
10;1007;0303;10;789;20;678;200
11;3030;0505;12;1234;20;678;210
11;3030;0606;12;1234;20;678;210
11;1008;0808;10;789;20;678;220
11;1008;0909;10;789;20;678;220
12;4040;1111;12;1234;20;678;230
12;4040;1212;12;1234;20;678;230
12;1009;1414;10;789;20;678;240
12;1009;1515;10;789;20;678;240
