12;1234;10229;100;741;4;20
12;1234;9229;100;741;4;20
12;1234;8229;100;741;4;20
12;1234;7999;100;748;4;20
12;1234;6999;20;678;4;20
12;1234;558;10;789;4;10
12;1234;4229;100;741;4;20
12;1234;3229;100;741;4;20
12;1234;2229;100;741;4;20
12;1234;1999;100;748;4;20
12;1234;1999;20;678;4;20
12;1234;11958;10;789;4;10
12;1234;12229;100;741;4;20
12;1234;13229;100;741;4;20
12;1234;14229;100;741;4;20
12;1234;15999;100;748;4;20
12;1234;16999;20;678;4;20
12;1234;17558;10;789;4;10
100;741;1414;160;351;6;30
10;789;2222;50;65;8;40
20;678;4444;80;963;5;50
40;147;8888;100;741;1;25
50;65;9999;110;365;4;70
60;696;1010;120;132;2;55
90;159;1313;150;54;3;20
456;96;6666;60;696;3;15
456;96;5555;30;965;3;20
20;678;3333;70;69;5;50
30;965;7777;90;159;2;35
120;132;1515;170;271;1;40
10;789;1111;40;147;8;40
70;69;1111;130;765;2;45
80;963;1212;140;357;5;30
